RGIId,1976-2000_percentDataCoverage,1976-2000_volumeChange,1976-2000_meanElevationChange,1976-2000_geodeticMassBalance,1976-2000_volumeChange_sigma,1976-2000_meanElevationChange_sigma,1976-2000_geodeticMassBalance_sigma,1976-2000_timepsan,1976-2000_minYear,1976-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.07236,85,-1215644.237,-0.281946873,-0.239654842,1108132.568,0.257783566,0.219768091,24,1976,2000,96,-2358000.668,-0.540076445,-0.459064978,584059.065,0.139117207,0.122609262,20.72828326,2000.112254,2020.840537
RGI60-17.07244,56,-6996366.864,-0.80043314,-0.680368169,3261570.186,0.377414462,0.32437726,24,1976,2000,96,-14188618.66,-1.613618206,-1.371575475,843858.3253,0.149093378,0.159480039,20.72828326,2000.112254,2020.840537
RGI60-17.07247,93,-3471384.992,-0.430993172,-0.366344196,689029.0414,0.090813417,0.081407808,24,1976,2000,96,-6214988.641,-0.771241019,-0.655554866,534615.8873,0.085880073,0.08642941,20.72828326,2000.112254,2020.840537
RGI60-17.07272,79,-783728.3283,-0.176127327,-0.149708228,1215553.488,0.273455176,0.232677002,24,1976,2000,96,-2856424.365,-0.63980156,-0.543831326,664023.4022,0.155460909,0.137604847,20.72828326,2000.112254,2020.840537
RGI60-17.07473,90,-2269350.19,-0.467113713,-0.397046656,788689.8435,0.165668735,0.143580401,24,1976,2000,96,-2145330.771,-0.441826908,-0.375552872,512186.8241,0.110015868,0.097198416,20.72828326,2000.112254,2020.840537
RGI60-17.07490,95,-1951740.586,-0.496005195,-0.421604415,596303.5107,0.155548618,0.135524289,24,1976,2000,96,-2069145.663,-0.539237783,-0.458352116,393383.7928,0.109380631,0.098442253,20.72828326,2000.112254,2020.840537
RGI60-17.07512,94,1049622.083,0.299006481,0.254155509,822922.7237,0.235378108,0.200874138,24,1976,2000,96,-2821880.296,-0.822372148,-0.699016326,360670.1339,0.120132478,0.113409214,20.72828326,2000.112254,2020.840537
RGI60-17.07513,95,-1755111.429,-0.269949735,-0.229457275,1098953.824,0.170102022,0.145491105,24,1976,2000,96,-2004365.91,-0.306533197,-0.260553217,829025.3645,0.12862458,0.11086708,20.72828326,2000.112254,2020.840537
RGI60-17.07528,87,964343.5022,0.240852359,0.204724505,769961.2331,0.193056532,0.164733136,24,1976,2000,96,-3202632.836,-0.766683328,-0.651680829,581913.9879,0.149482392,0.13513084,20.72828326,2000.112254,2020.840537
RGI60-17.07586,89,1878886.982,0.556435469,0.472970149,738830.3796,0.222315303,0.191894611,24,1976,2000,96,-2082728.237,-0.617728987,-0.525069639,439068.3827,0.137356267,0.122494667,20.07118558,2000.112254,2020.18344
RGI60-17.07589,88,-3314676.2,-0.392286392,-0.333443433,2455403.413,0.29191381,0.249240601,24,1976,2000,95,-5861393.116,-0.703211894,-0.59773011,890635.6919,0.117855979,0.108700382,20.81589629,2000.112254,2020.92815
RGI60-17.07590,93,1566654.276,0.521209711,0.443028255,708604.0985,0.23860874,0.205214239,24,1976,2000,96,-243757.6931,-0.079851621,-0.067873878,408043.9841,0.13378872,0.113821293,20.72828326,2000.112254,2020.840537
RGI60-17.07605,92,2417676.831,0.816338968,0.693888123,1156689.495,0.39480385,0.339138919,24,1976,2000,96,-290272.4445,-0.096105691,-0.081689838,703535.9528,0.233031344,0.198160559,20.07118558,2000.112254,2020.18344
RGI60-17.07635,92,200057.243,0.053694132,0.045640012,1289907.566,0.346224063,0.294308087,24,1976,2000,96,-3396068.502,-0.915633614,-0.778288572,1134822.488,0.31274133,0.271447682,20.81589629,2000.112254,2020.92815
RGI60-17.07671,86,1348844.745,0.286032845,0.243127918,2017768.879,0.428361077,0.364511151,24,1976,2000,96,-1844298.773,-0.38962752,-0.331183392,974122.1195,0.207629554,0.178026719,20.07118558,2000.112254,2020.18344
RGI60-17.07714,85,55631.11938,0.021202044,0.018021738,1043234.934,0.397598876,0.337961439,24,1976,2000,96,-263709.8607,-0.097923442,-0.083234926,404556.2772,0.150383467,0.127960905,20.07118558,2000.112254,2020.18344
RGI60-17.07807,87,-2386650.569,-0.579706395,-0.492750436,1639951.16,0.400441784,0.342148077,24,1976,2000,95,462342.039,0.111064005,0.094404404,709449.384,0.170605176,0.145167431,20.07118558,2000.112254,2020.18344
RGI60-17.07818,90,1010500.347,0.279395663,0.237486313,1765708.15,0.488604454,0.415651974,24,1976,2000,96,-2054943.041,-0.55151303,-0.468786076,424376.564,0.120387154,0.107546458,20.81589629,2000.112254,2020.92815
RGI60-17.07907,92,1589242.974,0.428426781,0.364162764,1436302.802,0.388380606,0.331122808,24,1976,2000,96,-632784.6021,-0.168967212,-0.14362213,542355.716,0.145312752,0.123931199,20.81589629,2000.112254,2020.92815
