RGIId,1976/1979-2000_percentDataCoverage,1976/1979-2000_volumeChange,1976/1979-2000_meanElevationChange,1976/1979-2000_geodeticMassBalance,1976/1979-2000_volumeChange_sigma,1976/1979-2000_meanElevationChange_sigma,1976/1979-2000_geodeticMassBalance_sigma,1976/1979-2000_timespan,1976/1979-2000_minYear,1976/1979-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.00090,78,2272545.914,0.633989324,0.538890925,2692202.559,0.752400833,0.640670984,21-24,1976/1979,2000,95,-3661158.643,-0.93772125,-0.797063063,824058.3005,0.22123424,0.196285562,19,2000.112254,2019.112254
RGI60-17.00102,87,3061802.893,0.903615437,0.768073122,1603953.337,0.477660015,0.409614962,21-24,1976/1979,2000,57,-2070435.356,-0.595167581,-0.505892444,1596815.746,0.460946037,0.39342812,16.69816629,2000.112254,2016.81042
RGI60-17.00113,57,-30892328.5,-2.68842682,-2.285162797,3919761.557,0.390513855,0.369054905,21-24,1976/1979,2000,1,-11974168.53,-0.947001059,-0.804950901,4519423.515,0.363647964,0.31427982,16.69816629,2000.112254,2016.81042
RGI60-17.00136,69,-50802647.82,-6.719984299,-5.711986654,2366405.975,0.569009709,0.629678319,21-24,1976/1979,2000,0,nan,nan,nan,nan,nan,nan,11.87886815,2000.112254,2011.991122
RGI60-17.00148,62,-21540590.74,-1.275776817,-1.084410295,4567244.553,0.285148491,0.254176344,21-24,1976/1979,2000,93,-37913755.39,-2.308711518,-1.96240479,1911233.52,0.200815162,0.219828565,19,2000.112254,2019.112254
RGI60-17.00172,50,-3030704642,-3.585700134,-3.047845114,42322900.71,0.258555965,0.307548478,21-24,1976/1979,2000,91,-2988836841,-3.699082762,-2.905212633,16014383.95,0.262452753,0.314684626,20.09582675,2000.112254,2020.208081
RGI60-17.00231,72,-14640083.79,-3.423263446,-2.909773929,2887322.2,0.717219522,0.643307247,21-24,1976/1979,2000,95,-3573616.66,-0.814862948,-0.692633506,1068812.459,0.250431379,0.218409308,20.18343977,2000.112254,2020.295694
RGI60-17.00312,50,37887233.09,0.146327976,0.12437878,15743649.31,0.061679158,0.053157341,21-24,1976/1979,2000,86,-50880115.5,-0.197147738,-0.167575578,8851581.474,0.037022509,0.033618869,20.09582675,2000.112254,2020.208081
RGI60-17.00326,82,1020527.456,0.336691287,0.286187594,849538.0508,0.281287981,0.239946693,21-24,1976/1979,2000,94,-2996780.935,-0.987851198,-0.839673518,700017.7025,0.241094282,0.213329375,19.83232373,2000.112254,2019.944578
RGI60-17.00363,76,-687783.412,-0.252428817,-0.214564495,836759.5607,0.307624008,0.261918683,21-24,1976/1979,2000,86,215329.7869,0.077665574,0.066015738,846133.1471,0.305234388,0.259491075,20.09582675,2000.112254,2020.208081
RGI60-17.00368,47,19328415.24,0.766817014,0.651794462,4495578.925,0.186413467,0.164996033,21-24,1976/1979,2000,94,-10240839.51,-0.407605961,-0.346465067,1762964.26,0.075858249,0.068961735,20.09582675,2000.112254,2020.208081
RGI60-17.00387,93,-1251762.472,-0.378031844,-0.321327067,833478.3927,0.253125585,0.216349012,21-24,1976/1979,2000,94,-3509667.145,-1.02887277,-0.874541855,475931.5655,0.157352616,0.14730877,20.09582675,2000.112254,2020.208081
